date,household_employment_total,household_employment_total_sa,household_employment_total_sa_stl,household_employment_seasonal_factor_stl,household_sa_gap_official_vs_stl,household_sa_gap_pct_official_vs_stl,household_employment_total_sa_stl_chained,household_employment_total_sa_spliced_chain,household_employment_total_sa_spliced,employment_blended_level
1981-10-01,3181.9423453,,3263.131551721076,0.975119235883012,,,3277.2868868358496,3277.2868868358496,3277.2868868358496,
1982-01-01,3230.6355782,,3256.4248854372495,0.9920804845361002,,,3270.5511272999597,3270.5511272999597,3270.5511272999597,
1982-04-01,3305.9117271,,3252.7333597299485,1.0163488246618733,,,3266.843587900705,3266.843587900705,3266.843587900705,
1982-07-01,3303.6530036,,3250.9665381091527,1.0162064004268372,,,3265.069101877867,3265.069101877867,3265.069101877867,
1982-10-01,3185.0703025000003,,3259.2887285892302,0.9772286433422683,,,3273.42739368983,3273.42739368983,3273.42739368983,
1983-01-01,3224.2073444,,3250.7248739509246,0.9918425795540504,,,3264.8263893901153,3264.8263893901153,3264.8263893901153,
1983-04-01,3296.3172633000004,,3248.3834024877888,1.014756220209568,,,3262.474760716736,3262.474760716736,3262.474760716736,
1983-07-01,3309.8909974000003,,3259.3959840222565,1.015492138305771,,,3273.5351143926664,3273.5351143926664,3273.5351143926664,
1983-10-01,3195.7698933,,3262.8168580120882,0.9794512019430534,,,3276.9708279980464,3276.9708279980464,3276.9708279980464,
1984-01-01,3240.2007327,,3270.1244444665635,0.9908493660486841,,,3284.310114472427,3284.310114472427,3284.310114472427,
1984-04-01,3326.1625907000002,,3281.72556204418,1.0135407509908123,,,3295.9615572374946,3295.9615572374946,3295.9615572374946,
1984-07-01,3342.7651244,,3291.3348821208197,1.0156259524239113,,,3305.6125621631063,3305.6125621631063,3305.6125621631063,
1984-10-01,3243.5752522,,3306.8587793733045,0.9808629483762547,,,3321.203801465525,3321.203801465525,3321.203801465525,
1985-01-01,3293.3104171,,3325.2778826608624,0.9903865280770804,,,3339.702806091848,3339.702806091848,3339.702806091848,
1985-04-01,3383.561351,,3339.6106364788484,1.013160430752338,,,3354.0977348268407,3354.0977348268407,3354.0977348268407,
1985-07-01,3417.9348833,,3367.0671068833713,1.015107443600587,,,3381.67331030987,3381.67331030987,3381.67331030987,
1985-10-01,3322.4626322,,3384.145677525263,0.9817729343819587,,,3398.8259671131336,3398.8259671131336,3398.8259671131336,
1986-01-01,3363.6742347,,3395.4127891162607,0.990652519623536,,,3410.141954986873,3410.141954986873,3410.141954986873,
1986-04-01,3468.1164854999997,,3423.554352489136,1.013016335779353,,,3438.4055953443512,3438.4055953443512,3438.4055953443512,
1986-07-01,3487.3630203999996,,3437.386384506815,1.0145391382587776,,,3452.2976301677477,3452.2976301677477,3452.2976301677477,
1986-10-01,3402.5002434,,3463.6688752068026,0.9823399308621404,,,3478.6941332688943,3478.6941332688943,3478.6941332688943,
1987-01-01,3453.9053556,,3484.2208673074024,0.9912991992006425,,,3499.3352790952476,3499.3352790952476,3499.3352790952476,
1987-04-01,3548.7523752,,3505.791719911175,1.0122541949782207,,,3520.9997052011845,3520.9997052011845,3520.9997052011845,
1987-07-01,3574.214757,,3525.0187113365632,1.0139562509286042,,,3540.310102552004,3540.310102552004,3540.310102552004,
1987-10-01,3483.4972877,,3544.3187464358034,0.9828397322343068,,,3559.6938604372326,3559.6938604372326,3559.6938604372326,
1988-01-01,3544.050119,,3570.489996762618,0.9925948881563634,,,3585.9786406088842,3585.9786406088842,3585.9786406088842,
1988-04-01,3638.4533322,,3601.3063351237006,1.010314867334112,,,3616.9286590222714,3616.9286590222714,3616.9286590222714,
1988-07-01,3665.5242841,,3615.8766870325994,1.01373044530126,,,3631.5622165392624,3631.5622165392624,3631.5622165392624,
1988-10-01,3578.3384042000002,,3637.9878367690876,0.9836037295215209,,,3653.769283565425,3653.769283565425,3653.769283565425,
1989-01-01,3639.8326288999997,,3661.397098081224,0.9941103167442478,,,3677.280093323712,3677.280093323712,3677.280093323712,
1989-04-01,3711.0464518,,3682.02588846101,1.0078816836758104,,,3697.9983705771374,3697.9983705771374,3697.9983705771374,
1989-07-01,3771.3131983,,3720.3812427645294,1.0136899828840202,,,3736.5201088847975,3736.5201088847975,3736.5201088847975,
1989-10-01,3691.8350841,,3748.674496684968,0.9848374638461589,,,3764.936097817412,3764.936097817412,3764.936097817412,
1990-01-01,3764.1026401,,3781.5997170121504,0.9953731018030699,,,3798.004146443139,3798.004146443139,3798.004146443139,
1990-04-01,3827.5953638,,3807.768952978483,1.0052068313667015,,,3824.286903516092,3824.286903516092,3824.286903516092,
1990-07-01,3884.1934825,,3833.2155906755647,1.0132989889607158,,,3849.8439277171924,3849.8439277171924,3849.8439277171924,
1990-10-01,3806.7518355,,3852.2333730636797,0.9881934625555908,,,3868.944208490241,3868.944208490241,3868.944208490241,
1991-01-01,3864.816522,,3885.6088655071217,0.9946488840676424,,,3902.4644824947904,3902.4644824947904,3902.4644824947904,
1991-04-01,4042.1056519,,4030.9044941904885,1.002778819921349,,,4048.390397846692,4048.390397846692,4048.390397846692,
1991-07-01,4039.1801791,,3988.7988478320162,1.01263070242195,,,4006.1020988660434,4006.1020988660434,4006.1020988660434,
1991-10-01,3985.7873946000004,,4015.276190045834,0.992655848800902,,,4032.694298739151,4032.694298739151,4032.694298739151,4067.711437802931
1992-01-01,3960.2129941,,3986.7888570637574,0.9933340179486372,,,4004.083388837635,4004.083388837635,4004.083388837635,4055.0002637270645
1992-04-01,3989.5758228000004,,3988.3740243056277,1.0003013254241075,,,4005.675432472064,4005.675432472064,4005.675432472064,4049.621828608175
1992-07-01,3998.4491132,,3953.4513883335467,1.0113818839405082,,,3970.601303491675,3970.601303491675,3970.601303491675,4003.8360711814635
1992-10-01,3944.6947344,,3954.348607007575,0.9975586693114338,,,3971.502414264689,3971.502414264689,3971.502414264689,3969.937228587578
1993-01-01,3897.7611394,,3924.8067296461304,0.9931090644433922,,,3941.832385412156,3941.832385412156,3941.832385412156,3935.7897077993903
1993-04-01,3939.4534804,,3950.1811980730427,0.9972842466876534,,,3967.3169272756577,3967.3169272756577,3967.3169272756577,3968.4990199216872
1993-07-01,3984.5760321999996,,3949.3045204639197,1.0089310691422548,,,3966.4364466738734,3966.4364466738734,3966.4364466738734,3956.21705708255
1993-10-01,3953.3440443000004,,3946.323695550583,1.001778959175936,,,3963.4426910604107,3963.4426910604107,3963.4426910604107,3946.8082192307993
1994-01-01,3910.948861,,3937.5458893631744,0.9932452778683755,,,3954.6268070982674,3954.6268070982674,3954.6268070982674,3926.828275556537
1994-04-01,3900.953722,,3911.429673780934,0.9973217077501978,,,3928.3973004097274,3928.3973004097274,3928.3973004097274,3904.643537217456
1994-07-01,3934.9581122,,3912.5993281304,1.0057145601157893,,,3929.572028673322,3929.572028673322,3929.572028673322,3929.1628565592705
1994-10-01,3941.0364204,,3931.674953844978,1.0023810377675977,,,3948.730403694888,3948.730403694888,3948.730403694888,3938.294003017384
1995-01-01,3916.5685155,,3933.420512517,0.9957156889370518,,,3950.483534531125,3950.483534531125,3950.483534531125,3943.0329374318244
1995-04-01,3910.7490104999997,,3918.403071404155,0.9980466376825764,,,3935.400948354972,3935.400948354972,3935.400948354972,3922.2553292352804
1995-07-01,3918.7365634,,3905.3306112970313,1.0034327316781284,,,3922.2717804349213,3922.2717804349213,3922.2717804349213,3918.850042986214
1995-10-01,3916.2825199000004,,3909.4393838266396,1.0017504136530855,,,3926.398376656632,3926.398376656632,3926.398376656632,3915.5094388826606
1996-01-01,3894.3821938,,3908.4527620308254,0.9963999646183489,,,3925.4074749346396,3925.4074749346396,3925.4074749346396,3905.0655603158693
1996-04-01,3906.2707807,,3908.899829845713,0.999327419667899,,,3925.8564821119585,3925.8564821119585,3925.8564821119585,3901.6510441165105
1996-07-01,3919.2862265,,3907.8195628781014,1.0029342868669857,,,3924.771528989131,3924.771528989131,3924.771528989131,3891.140838034959
1996-10-01,3898.6919673,,3896.481542587696,1.0005672873560787,,,3913.384324816861,3913.384324816861,3913.384324816861,3881.0552449057554
1997-01-01,3878.4400305,,3893.316642830005,0.9961789359318107,,,3910.205695849678,3910.205695849678,3910.205695849678,3873.715734093412
1997-04-01,3887.4443195000003,,3886.136745701853,1.0003364713811465,,,3902.9946526128483,3902.9946526128483,3902.9946526128483,3864.989646392204
