date,unemployment_rate_sa
2006-10-01,3.20400952
2006-11-01,3.1331335
2006-12-01,3.05441151
2007-01-01,3.02272377
2007-02-01,2.96579137
2007-03-01,2.88190649
2007-04-01,2.83966481
2007-05-01,2.78439574
2007-06-01,2.71289549
2007-07-01,2.7044148
2007-08-01,2.68141976
2007-09-01,2.65141701
2007-10-01,2.66398831
2007-11-01,2.6462182
2007-12-01,2.58877201
2008-01-01,2.57950553
2008-02-01,2.54435848
2008-03-01,2.53635505
2008-04-01,2.53857982
2008-05-01,2.49485761
2008-06-01,2.4868782
2008-07-01,2.49773205
2008-08-01,2.50285948
2008-09-01,2.55378647
2008-10-01,2.62423871
2008-11-01,2.7187119
2008-12-01,2.81966956
2009-01-01,2.96064553
2009-02-01,3.10584923
2009-03-01,3.29290445
2009-04-01,3.44026585
2009-05-01,3.54214007
2009-06-01,3.81207302
2009-07-01,3.93858367
2009-08-01,4.01378244
2009-09-01,4.10875486
2009-10-01,4.13148153
2009-11-01,4.14134883
2009-12-01,4.09952865
2010-01-01,3.69849843
2010-02-01,3.70495284
2010-03-01,3.70670114
2010-04-01,3.64429476
2010-05-01,3.61602033
2010-06-01,3.58510382
2010-07-01,3.52077135
2010-08-01,3.47141311
2010-09-01,3.40306227
2010-10-01,3.32540886
2010-11-01,3.26803109
2010-12-01,3.21911761
2011-01-01,3.12937315
2011-02-01,3.0688013
2011-03-01,3.01260632
2011-04-01,2.83763842
2011-05-01,2.74512848
2011-06-01,2.73897467
2011-07-01,2.70112589
2011-08-01,2.71365171
2011-09-01,2.70647464
2011-10-01,2.74926812
2011-11-01,2.7946082
2011-12-01,2.82866558
2012-01-01,2.82375075
2012-02-01,2.8502946
2012-03-01,2.82297609
2012-04-01,2.83112497
2012-05-01,2.84494862
2012-06-01,2.85015073
2012-07-01,2.87611869
2012-08-01,2.91124171
2012-09-01,2.9258711
2012-10-01,2.99771745
2012-11-01,3.04884061
2012-12-01,3.0801895
2013-01-01,3.11371546
2013-02-01,3.12494086
2013-03-01,3.10491159
2013-04-01,3.12291767
2013-05-01,3.14208844
2013-06-01,3.13808116
2013-07-01,3.17745677
2013-08-01,3.15697717
2013-09-01,3.18682999
2013-10-01,3.18781621
2013-11-01,3.21235223
2013-12-01,3.23432156
2014-01-01,3.09826497
2014-02-01,3.07355252
2014-03-01,3.07047936
2014-04-01,3.03172749
2014-05-01,2.99985124
2014-06-01,3.02141747
2014-07-01,3.02123271
2014-08-01,3.00099479
2014-09-01,3.04023616
2014-10-01,3.04415898
2014-11-01,3.03641737
2014-12-01,3.06890595
2015-01-01,3.05123005
2015-02-01,3.08737969
2015-03-01,3.11971894
2015-04-01,3.12089701
2015-05-01,3.13799133
2015-06-01,3.17836892
2015-07-01,3.17939364
2015-08-01,3.19966343
2015-09-01,3.23361867
2015-10-01,3.24946999
2015-11-01,3.29621305
2015-12-01,3.30386932
2016-01-01,3.30757491
2016-02-01,3.32439556
2016-03-01,3.34020679
2016-04-01,3.30647067
2016-05-01,3.33089952
2016-06-01,3.31727531
