date,gdp_nom_csa,gdp_nom_cssa,gdp_nom_nasa,gdp_real_csa,gdp_real_cssa,gdp_real_nasa
1991-10-01,99078.6172656362,99078.617285927,100676.388351384,113349.745683146,113349.745694768,115761.886153817
1992-01-01,99828.9546721532,99828.9547210328,98942.1841407852,113996.490772357,113996.490800142,112514.883307637
1992-04-01,100088.850225306,100088.85026328,100200.689829377,113898.785683774,113898.785703716,113842.780853301
1992-07-01,99659.8382514816,99659.8382425547,98954.0201891398,113071.795874689,113071.795866845,112384.671232369
1992-10-01,99705.1879945806,99705.1879166531,101459.970091453,112504.551147121,112504.551107261,114927.075713434
1993-01-01,100044.124674662,100044.124499964,98779.5544044401,112130.612992814,112130.612910878,110359.362067843
1993-04-01,101741.354691949,101741.354534417,101557.582148256,113159.392993616,113159.392915089,112853.982303124
1993-07-01,102766.047480481,102766.047483974,102202.900303775,113590.888220233,113590.888217179,113072.796559467
1993-10-01,103728.891903041,103728.892231777,105779.569349952,114212.495721881,114212.495885494,116811.721364875
1994-01-01,104661.368334863,104661.369118571,103613.996138203,114854.912731221,114854.913111336,113330.979951035
1994-04-01,103969.547682936,103969.548367355,103532.204743637,113899.39613731,113899.396491777,113343.440414091
1994-07-01,104722.246506988,104722.246479688,104057.660913859,114835.347463447,114835.34747153,114205.068186586
1994-10-01,105039.655387124,105039.653946297,107197.905315187,115231.618808531,115231.618066297,117971.618723409
1995-01-01,104934.07864738,104956.344272035,103669.779890848,114792.901307821,114817.26084179,113119.838726537
1995-04-01,105774.793669286,105800.831431575,105236.598697804,115156.874709825,115185.226309256,114734.924304804
1995-07-01,106571.723836437,106602.131250344,105955.939187984,115747.168250793,115780.201488885,114945.792219781
1995-10-01,106343.916268673,106379.297549347,108767.129802821,115499.738301368,115538.178290167,118381.19226833
1996-01-01,107103.455426527,107107.736459333,105634.845920387,116412.671440758,116417.343094739,114557.006494509
1996-04-01,107101.815545664,107023.662902966,106720.516894617,115783.665997747,115699.197212305,115293.575049592
1996-07-01,106316.103217065,106155.726483307,105401.931629006,115616.099615957,115441.708428643,114554.107038805
1996-10-01,106515.717409449,106493.796743276,108868.364547965,116016.899325371,115993.028181249,118957.52827682
1997-01-01,106875.201091779,106936.48664179,105184.459439199,116567.226844678,116634.060008601,114394.55019269
1997-04-01,107896.252186361,107963.190107019,107868.710496821,117645.323336398,117718.300378861,117579.534896293
1997-07-01,109343.635131931,109415.564542642,108546.285147751,119367.723449375,119446.255631387,118369.869235448
1997-10-01,109646.484020167,109722.746099563,112424.45194624,119819.685761734,119903.067239253,123323.412352609
1998-01-01,110630.251179788,110594.124269106,109116.140911967,120843.300335675,120803.934648059,118844.86757185
1998-04-01,112012.652088418,111808.854200004,111407.153381998,122218.373855965,121996.130110713,121558.608914015
1998-07-01,111548.632455716,111462.893663023,110749.214023719,122014.240266333,121920.577651583,120929.821740762
1998-10-01,110585.714450043,110618.144425417,113389.100883837,121258.573830719,121294.222983535,124853.899492624
1999-01-01,111263.778660172,111340.03430565,109941.75637869,121908.042931057,121991.62521431,120103.112768507
1999-04-01,112217.612460455,112297.880242412,111639.977636106,122575.127249201,122662.801321866,122199.639493124
1999-07-01,113446.437335874,113530.774414299,112807.574571579,123483.626826595,123575.413990209,122461.447984601
1999-10-01,116277.964930043,116366.427543765,119471.121670418,126385.529020611,126481.6855748,130275.488087047
2000-01-01,117349.367292298,117370.105037473,116243.25613711,127011.608007719,127034.100262115,125470.511387523
2000-04-01,118233.422771357,118112.335162105,117254.894449603,127402.453265385,127272.046557513,126595.779397425
2000-07-01,119661.206564861,119398.457437473,118431.965355633,128388.227872268,128106.393949803,126759.91258103
2000-10-01,121651.769303159,121613.131196258,124462.578791522,129981.564707816,129940.347110816,133396.133786553
2001-01-01,122136.483973674,122249.823075037,121096.071700886,129891.827737419,130012.398021338,128326.941362261
2001-04-01,122752.344739593,122869.393749606,122031.589437563,130468.633906813,130593.048855594,129996.766003452
2001-07-01,122633.491084019,122752.934904221,121717.694752303,130436.837408668,130563.869051109,129242.475961531
2001-10-01,122451.947716196,122572.47071897,125299.254693016,130366.058234016,130494.343008337,133749.869574239
2002-01-01,122019.796869396,121944.701864712,120438.152131805,130457.547904677,130377.222947058,128392.303364553
2002-04-01,122575.312011504,122232.563667381,121772.911231423,131112.551708487,130745.89404165,130354.069686815
2002-07-01,122784.45783068,122620.73975595,121642.989757058,131213.520790436,131038.535885224,129985.578356903
2002-10-01,122216.000755025,122231.614537204,124872.79642376,130366.774818985,130383.421504774,133459.848003995
2003-01-01,122035.928593984,122148.387857978,120958.762636764,129547.71184241,129667.11354593,128014.385521036
2003-04-01,122556.381624728,122669.917690433,122192.936066571,129386.321749815,129506.208887015,128947.860797915
2003-07-01,123840.907603647,123955.427598458,122837.201578375,130542.210252865,130662.930069825,129627.229866542
2003-10-01,125230.547668471,125345.958646583,128118.701317959,131878.548613272,132000.042358305,135203.106101275
2004-01-01,126100.075165846,126143.452247128,124951.421683462,132740.367409035,132785.911423672,131356.957054533
2004-04-01,127008.764660634,126897.269000914,126690.699997135,133701.612613708,133584.083852352,133183.728107454
2004-07-01,127159.13502271,126892.780303957,125712.033633438,133761.082047095,133480.734390252,132552.15067153
2004-10-01,127969.968714155,127938.062252416,130887.017729202,134239.027217754,134205.420178611,137318.289124396
2005-01-01,129283.944800865,129403.492615224,127840.606704258,135334.426919964,135459.493080982,133652.773855578
2005-04-01,131075.716570607,131197.1959955,131196.87550298,137021.036850163,137148.006993518,137100.984710823
2005-07-01,133044.769748447,133169.18353237,132256.657355147,138387.267535427,138516.711708242,137533.518781172
2005-10-01,135075.983025887,135204.332636079,137800.808172499,139745.624130398,139878.495281844,142811.764737609
2006-01-01,137649.347179031,137583.962448119,136425.527765881,141442.752498523,141375.696698399,139777.395570864
2006-04-01,139567.573535224,139224.776587284,138729.750551625,142669.807979087,142319.54519246,141787.540142689
2006-07-01,141088.737561208,140937.05190504,140161.149693975,143728.652356813,143574.282877471,142666.164699005
2006-10-01,144036.451100132,144075.121857965,146322.01386226,145726.872130621,145766.12887778,148584.094226472
2007-01-01,146358.638624734,146472.438303507,145022.230098603,146758.014851479,146872.209295881,144946.964683996
2007-04-01,149179.195621451,149295.87974461,148896.055521301,148803.220910501,148919.645912581,148507.263925987
